719,-8.95,1.23,0.62,0.06,-0.11,0.06,999.71,27.96
754,-7.88,1.82,0.14,0.00,-0.20,0.38,999.71,28.04
783,-6.12,1.40,0.25,0.12,-0.06,0.43,999.71,28.04
812,-6.45,1.15,0.28,0.25,0.40,0.12,999.71,28.04
840,-6.36,0.40,-0.08,0.01,0.50,-0.21,999.71,28.04
870,-9.64,0.29,-0.09,-0.07,0.66,-0.15,999.71,28.04
899,-9.05,1.22,2.24,-0.17,0.25,-0.01,999.71,28.04
927,-10.39,2.05,2.62,0.05,-0.42,0.57,999.72,28.05
956,-10.05,2.26,1.87,-0.01,-0.71,0.66,999.72,28.05
988,-11.19,1.13,-1.40,-0.00,-0.02,0.43,999.72,28.05
1016,-10.71,0.74,-1.98,-0.51,1.56,0.15,999.72,28.05
1048,-10.52,0.79,-0.59,-0.92,1.56,-0.17,999.71,28.05
1077,-11.85,1.45,1.41,-0.47,0.45,-0.09,999.71,28.05
1106,-12.70,1.08,0.08,-0.05,-0.53,0.19,999.71,28.05
1135,-11.87,0.24,-3.21,-0.39,0.14,0.17,999.71,28.05
1165,-11.19,1.42,-3.13,-0.41,1.05,-0.01,999.71,28.05
1193,-4.81,0.58,-3.44,-1.07,-0.50,0.05,999.71,28.05
1223,-8.86,0.77,-4.44,0.56,-0.01,-0.48,999.71,28.04
1252,-11.68,-1.19,-3.66,-0.30,1.19,-0.92,999.71,28.04
1281,-9.22,1.05,2.58,-1.22,0.95,-0.47,999.71,28.04
1313,-7.65,2.07,2.59,-1.07,-0.08,0.05,999.71,28.04
1342,-8.82,1.66,-0.79,-1.05,-0.27,0.24,999.71,28.04
1372,-7.49,-0.74,-2.79,-0.57,0.28,-0.13,999.72,28.04
1400,-7.26,1.16,-5.12,-0.34,0.77,-0.50,999.72,28.04
1429,-9.07,2.32,-0.37,-0.80,0.61,-0.34,999.72,28.04
1459,-9.71,1.10,-0.03,-0.30,-0.21,-0.36,999.72,28.04
1487,-9.21,0.74,-1.06,-0.58,-0.63,-0.46,999.72,28.04
1516,-8.91,2.69,-0.07,-0.64,-0.75,-0.06,999.76,28.05
1546,-11.79,3.75,-0.18,-1.05,-0.66,0.56,999.76,28.05
1574,-12.64,2.64,0.42,-1.03,-1.39,0.34,999.76,28.05
1607,-11.18,2.75,-0.13,-1.06,-0.90,0.69,999.76,28.05
1636,-10.83,1.31,0.54,-0.98,-0.74,0.84,999.76,28.05
1666,-9.92,1.16,-0.47,-0.86,-0.30,1.07,999.74,28.06
1694,-10.82,1.01,-0.30,-0.87,0.16,1.39,999.74,28.06
1723,-10.53,0.63,-0.21,-0.89,-0.33,0.91,999.74,28.06
1753,-9.01,-0.09,-0.79,-0.89,-0.14,0.11,999.74,28.06
1781,-8.18,-0.31,-0.57,-0.48,0.52,0.13,999.74,28.06
1811,-8.89,1.91,-0.89,-0.40,1.00,0.66,999.74,28.06
1840,-9.22,1.97,-1.02,-0.58,0.87,0.54,999.74,28.06
1872,-7.75,0.18,-1.00,-0.38,0.98,-0.76,999.74,28.06
1901,-7.48,0.17,0.43,-0.07,0.88,-0.88,999.74,28.06
1930,-7.58,0.94,0.46,-0.11,0.63,-0.65,999.74,28.06
1959,-7.36,1.88,0.27,-0.26,0.54,-0.23,999.72,28.06
1988,-7.66,1.63,-0.03,-0.25,0.78,-0.10,999.72,28.06
2018,-9.42,1.14,-0.19,-0.10,0.78,-0.38,999.72,28.06
2046,-9.02,1.80,-0.55,-0.10,0.61,-0.58,999.72,28.06
2076,-8.98,1.57,-1.02,-0.03,0.71,-0.39,999.72,28.06
2105,-10.18,1.45,-0.30,0.02,0.57,-0.12,999.75,28.07
2135,-10.15,1.59,-0.28,-0.06,0.41,-0.26,999.75,28.07
2166,-10.69,1.69,-0.70,-0.11,0.46,-0.23,999.75,28.07
2195,-11.30,1.47,-0.61,-0.10,0.29,-0.10,999.75,28.07
2225,-11.57,0.81,-1.46,-0.03,0.31,-0.29,999.75,28.07
2253,-10.85,1.37,-3.77,0.05,0.62,-0.21,999.75,28.07
2283,-11.20,1.18,-4.26,0.03,0.42,-0.01,999.75,28.07
2312,-10.45,1.65,-3.83,-0.03,0.07,0.00,999.75,28.07
2341,-9.76,1.67,-3.84,-0.18,0.12,0.20,999.75,28.07
2370,-9.72,1.50,-3.66,-0.11,0.46,0.58,999.75,28.07
2399,-9.94,0.94,-3.41,-0.02,0.41,0.39,999.77,28.07
2428,-9.24,0.84,-3.12,-0.08,0.22,-0.26,999.77,28.07
2460,-7.71,1.17,-2.64,-0.08,0.37,-0.65,999.77,28.07
2490,-7.29,1.51,-2.35,-0.06,0.40,-0.17,999.77,28.07
2519,-7.17,0.98,-1.43,-0.04,0.24,0.17,999.77,28.07
2548,-7.34,0.60,-1.78,0.04,0.17,-0.15,999.73,28.06
2577,-7.58,1.38,-2.33,-0.00,0.35,-0.39,999.73,28.06
2606,-8.14,1.58,-1.85,0.07,0.35,-0.14,999.73,28.06
2635,-9.09,1.57,-2.52,0.07,0.27,0.03,999.73,28.06
2664,-9.55,1.99,-2.91,-0.03,0.16,0.17,999.73,28.06
2693,-10.01,1.56,-2.78,-0.04,0.12,0.15,999.73,28.06
2722,-10.66,1.23,-2.84,0.08,-0.08,-0.10,999.74,28.06
2754,-10.75,0.93,-3.20,0.17,-0.08,-0.35,999.74,28.06
2784,-11.76,0.86,-3.35,0.27,-0.24,-0.23,999.74,28.06
2812,-10.79,1.48,-4.12,0.44,-0.23,0.14,999.74,28.06
