208.00300000000001,0.03100000000000591,-9.11,0.03,-3.28,-0.15,0.07,-0.11
208.03400000000002,0.03100000000000591,-11.59,0.53,-4.32,-0.01,0.06,-0.07
208.066,0.031999999999982265,-11.72,0.33,-1.88,-0.12,0.0,0.05
208.101,0.03499999999999659,-7.85,-0.43,-2.76,-0.24,0.0,0.01
208.131,0.030000000000001137,-8.66,0.42,-2.75,-0.11,-0.04,0.02
208.163,0.03200000000001069,-9.36,0.13,-3.57,-0.17,-0.04,0.01
208.19500000000002,0.03200000000001069,-8.77,-0.18,-3.59,-0.29,-0.05,-0.0
208.227,0.031999999999982265,-7.58,0.15,-4.38,-0.44,0.07,-0.01
208.257,0.030000000000001137,-8.67,1.33,-4.06,-0.52,0.18,0.17
208.28900000000002,0.03200000000001069,-10.08,0.38,-4.22,0.25,0.26,0.3
208.321,0.031999999999982265,-11.22,-1.85,-4.34,1.05,0.29,0.25
208.353,0.03200000000001069,-12.18,-2.13,-1.88,0.64,0.21,0.17
208.383,0.030000000000001137,-10.93,0.59,-0.44,-0.6,-0.14,-0.01
208.418,0.03499999999999659,-8.87,1.36,-2.83,-0.48,-0.25,0.05
208.45000000000002,0.03200000000001069,-7.81,1.64,-3.63,-0.67,-0.25,0.14
208.48100000000002,0.03100000000000591,-7.67,1.18,-4.16,-0.62,-0.11,0.25
208.512,0.03099999999997749,-7.87,1.09,-3.91,-0.66,-0.04,0.29
208.544,0.03200000000001069,-7.47,0.57,-3.52,-0.58,0.0,0.36
208.57600000000002,0.03200000000001069,-8.4,0.45,-4.7,-0.55,0.07,0.46
208.607,0.03099999999997749,-8.48,0.43,-4.64,-0.39,0.1,0.45
208.638,0.03100000000000591,-9.58,0.19,-4.02,-0.44,0.04,0.41
208.67000000000002,0.03200000000001069,-9.81,0.57,-3.58,-0.48,-0.06,0.36
208.704,0.033999999999991815,-9.49,1.0,-3.84,-0.41,-0.13,0.32
208.73600000000002,0.03200000000001069,-9.1,1.15,-3.61,-0.12,-0.0,0.32
208.76600000000002,0.030000000000001137,-9.35,0.72,-3.26,0.12,-0.04,0.36
208.798,0.031999999999982265,-8.8,0.48,-3.18,0.06,-0.21,0.18
208.83,0.03200000000001069,-9.56,1.68,-3.23,-0.44,-0.34,0.15
208.86100000000002,0.03100000000000591,-8.78,1.45,-3.67,-0.44,-0.36,0.18
208.89200000000002,0.03100000000000591,-8.5,1.99,-3.72,-0.41,-0.3,0.21
208.923,0.03099999999997749,-8.42,2.08,-3.77,-0.21,-0.15,0.18
208.955,0.03200000000001069,-9.02,1.92,-3.08,-0.14,-0.1,0.16
208.989,0.033999999999991815,-8.57,1.83,-3.2,-0.3,-0.06,0.03
209.02,0.03100000000000591,-8.41,1.54,-4.14,-0.4,0.0,0.02
209.05100000000002,0.03100000000000591,-9.06,1.59,-3.73,-0.15,0.01,-0.09
209.083,0.031999999999982265,-10.49,1.62,-3.12,0.32,-0.07,-0.26
209.113,0.030000000000001137,-11.0,2.02,-2.53,0.38,-0.19,-0.24
209.145,0.03200000000001069,-11.73,1.94,-2.56,0.7,-0.2,-0.26
209.17700000000002,0.03200000000001069,-9.85,1.68,-3.25,0.64,-0.15,-0.27
209.208,0.03099999999997749,-9.3,2.15,-3.59,0.53,-0.03,-0.29
209.239,0.03100000000000591,-9.34,2.27,-3.82,0.28,0.15,-0.25
209.27,0.03100000000000591,-9.48,2.05,-3.92,0.22,0.29,-0.24
209.3,0.030000000000001137,-9.17,1.16,-3.61,-0.32,0.37,-0.21
209.33200000000002,0.03200000000001069,-9.34,1.09,-4.11,-1.22,0.54,-0.17
209.363,0.03099999999997749,-9.08,1.7,-5.2,-1.12,0.69,-0.14
209.394,0.03100000000000591,-9.02,1.99,-4.48,-0.82,0.79,-0.11
209.42600000000002,0.03200000000001069,-9.05,1.95,-4.53,-1.11,0.85,-0.03
209.458,0.031999999999982265,-8.76,1.58,-4.55,-1.35,0.88,0.04
209.489,0.03100000000000591,-8.63,1.28,-5.27,-0.54,0.95,0.04
209.52,0.03100000000000591,-8.64,1.48,-4.92,-0.08,1.01,0.06
209.55200000000002,0.03200000000001069,-8.3,1.3,-4.73,-0.28,1.01,0.11
209.589,0.03699999999997772,-8.1,1.28,-5.21,0.0,0.92,0.13
209.619,0.030000000000001137,-8.2,0.87,-6.72,0.43,0.94,0.07
209.651,0.03200000000001069,-8.22,0.34,-6.5,0.11,1.04,0.01
209.68300000000002,0.03200000000001069,-7.65,1.27,-4.87,-0.25,1.12,-0.02
