610,0.36,-0.34,9.92,-0.01,0.02,0.01
646,0.46,-0.32,9.89,-0.01,0.01,0.01
670,0.35,-0.33,9.92,-0.00,0.01,0.00
695,0.36,-0.33,9.89,-0.01,0.02,0.00
720,0.39,-0.24,9.93,-0.01,0.02,0.00
745,0.39,-0.26,9.90,-0.01,0.02,0.01
773,0.45,-0.25,9.87,-0.01,0.03,0.01
798,0.46,-0.27,9.92,-0.01,0.03,0.02
823,0.40,-0.26,9.95,-0.01,0.03,0.01
848,0.35,-0.30,9.95,-0.01,0.02,0.00
873,0.38,-0.28,9.95,-0.02,0.02,0.00
898,0.42,-0.33,9.85,-0.01,0.02,0.01
923,0.40,-0.29,9.91,-0.02,0.03,0.00
948,0.38,-0.33,9.88,-0.01,0.02,0.00
975,0.46,-0.31,9.95,-0.01,0.02,0.01
1001,0.45,-0.29,9.86,-0.01,0.02,0.01
1027,0.42,-0.23,9.97,-0.02,0.02,0.01
1051,0.41,-0.32,9.97,-0.01,0.02,0.01
1077,0.40,-0.26,9.90,-0.02,0.02,0.01
1101,0.47,-0.28,9.90,-0.01,0.02,0.01
1127,0.42,-0.22,9.88,-0.01,0.02,0.01
1153,0.42,-0.28,9.99,-0.01,0.02,0.01
1177,0.43,-0.25,9.96,-0.01,0.02,0.01
1203,0.40,-0.31,9.87,-0.01,0.03,0.01
1228,0.43,-0.29,9.93,-0.01,0.03,0.01
1254,0.37,-0.27,9.87,-0.02,0.02,0.01
1278,0.34,-0.27,9.94,-0.01,0.02,0.01
1304,0.42,-0.29,9.95,-0.01,0.02,0.00
1332,0.45,-0.26,9.96,-0.01,0.02,0.00
1357,0.38,-0.29,9.99,-0.01,0.02,0.01
1383,0.43,-0.31,9.87,-0.01,0.02,0.01
1408,0.37,-0.32,9.95,-0.01,0.02,0.01
1433,0.42,-0.31,9.86,-0.01,0.02,0.01
1458,0.38,-0.35,9.88,-0.01,0.02,0.01
1483,0.36,-0.28,9.88,-0.01,0.02,0.00
1508,0.42,-0.36,9.84,-0.01,0.03,0.01
1533,0.42,-0.27,9.90,-0.01,0.03,0.01
1559,0.37,-0.24,9.95,-0.02,0.02,0.01
1584,0.40,-0.31,9.89,-0.01,0.03,0.00
1609,0.36,-0.27,9.96,-0.01,0.02,0.01
1635,0.38,-0.28,9.93,-0.02,0.02,0.01
1662,0.41,-0.28,9.90,-0.02,0.03,0.01
1688,0.40,-0.30,9.91,-0.02,0.02,0.00
1713,0.39,-0.31,9.95,-0.01,0.02,-0.00
1738,0.41,-0.29,9.86,-0.02,0.04,0.00
1764,0.44,-0.29,9.87,-0.01,0.02,0.01
1788,0.42,-0.31,9.92,-0.01,0.03,0.01
1814,0.36,-0.29,9.90,-0.02,0.03,0.00
1840,0.37,-0.29,9.89,-0.01,0.02,0.01
1864,0.39,-0.29,9.95,-0.01,0.03,0.01
1890,0.38,-0.25,9.94,-0.00,0.02,0.00
1914,0.36,-0.33,9.85,-0.01,0.02,0.01
1940,0.40,-0.31,9.96,-0.01,0.02,0.00
1966,0.41,-0.27,9.93,-0.02,0.02,0.01
1991,0.45,-0.26,10.01,-0.01,0.03,0.01
2019,0.39,-0.27,9.90,-0.01,0.03,0.01
2044,0.40,-0.30,9.97,-0.01,0.01,0.01
2069,0.42,-0.32,9.88,-0.01,0.02,0.01
